Player,Club,Price,Mins,Starts,A,CS,GC,Y,R,Saves,Bonus,Pts,Mins/Save,Mins/Pts,Pts/Price,ffs_2008_09_category,source_url,outside_pl_2007_08_flag,carrier_player_name,carrier_status,G
Leadbitter,SUN,5.0,1896,21.0,5,,,5.0,0,,2,71,,26.7,14.2,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Leadbitter,CLEAN_POSITIVE_MINUTES,2.0
Miller,SUN,4.5,1604,17.0,2,,,3.0,1,,0,47,,34.13,10.44,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Miller,CLEAN_POSITIVE_MINUTES,1.0
Reid,SUN,6.0,985,11.0,2,,,2.0,0,,15,50,,19.7,8.33,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Reid,CLEAN_POSITIVE_MINUTES,1.0
Edwards,SUN,5.5,845,11.0,0,,,0.0,0,,5,29,,29.14,5.27,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Edwards,CLEAN_POSITIVE_MINUTES,0.0
Whitehead,SUN,5.0,2397,27.0,2,,,8.0,0,,1,62,,38.66,12.4,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Whitehead,CLEAN_POSITIVE_MINUTES,1.0
O’Donovan,SUN,4.5,459,4.0,0,,,2.0,0,,0,16,,28.69,3.56,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,O’Donovan,CLEAN_POSITIVE_MINUTES,0.0
Yorke,SUN,4.5,1250,17.0,0,,,4.0,1,,2,34,,36.76,7.56,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Yorke,CLEAN_POSITIVE_MINUTES,1.0
Tainio,SUN,5.0,651,8.0,0,,,1.0,0,,0,19,,34.26,3.8,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Tainio,CLEAN_POSITIVE_MINUTES,0.0
Etuhu,Sun,4.5,1504,18.0,1,,,4.0,0,,1,44,,34.18,9.78,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Etuhu,CLEAN_POSITIVE_MINUTES,1.0
Malbranque,SUN,6.5,2840,35.0,6,,,4.0,0,,8,113,,25.13,17.38,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Malbranque,CLEAN_POSITIVE_MINUTES,4.0
Zokora,TOT,5.5,2252,25.0,0,,,6.0,0,,0,53,,42.49,9.64,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Zokora,CLEAN_POSITIVE_MINUTES,0.0
Huddlestone,TOT,6.0,1945,24.0,7,,,5.0,0,,11,95,,20.47,15.83,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Huddlestone,CLEAN_POSITIVE_MINUTES,3.0
Lennon,TOT,7.0,2129,25.0,6,,,1.0,0,,8,95,,22.41,13.57,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Lennon,CLEAN_POSITIVE_MINUTES,2.0
Taarabt,TOT,4.5,129,0.0,0,,,0.0,0,,0,6,,21.5,1.33,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Taarabt,CLEAN_POSITIVE_MINUTES,0.0
Boateng,TOT,5.0,592,7.0,0,,,2.0,0,,0,17,,34.82,3.4,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Boateng,CLEAN_POSITIVE_MINUTES,0.0
Jenas,TOT,7.0,2475,29.0,6,,,3.0,0,,7,104,,23.8,14.86,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Jenas,CLEAN_POSITIVE_MINUTES,4.0
O’Hara,TOT,5.0,897,10.0,0,,,3.0,0,,0,25,,35.88,5.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,O’Hara,CLEAN_POSITIVE_MINUTES,1.0
