Player,Club,Price,Mins,Starts,A,CS,GC,Y,R,Saves,Bonus,Pts,Mins/Save,Mins/Pts,Pts/Price,ffs_2008_09_category,source_url,outside_pl_2007_08_flag,carrier_player_name,carrier_status,G,name_norm,launch_match_status,launch_match_method,launch_position,launch_player,launch_team,points_2006_07,start_price_m,launch_source_url,expected_later_addition
Toure,ARS,6.5,2565,29.0,3,8.0,26.0,3.0,0,,10,115,,22.3,17.69,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Toure,CLEAN_POSITIVE_MINUTES,2.0,toure,MATCHED,EXACT_DISPLAY_NAME,DEF,Toure,Arsenal,131.0,6.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Gallas,ARS,6.5,2723,30.0,0,11.0,26.0,6.0,0,,4,120,,22.69,18.46,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Gallas,CLEAN_POSITIVE_MINUTES,4.0,gallas,MATCHED,EXACT_DISPLAY_NAME,DEF,Gallas,Arsenal,83.0,6.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Djourou,ARS,5.0,1258,14.0,0,3.0,23.0,0.0,0,,1,33,,38.12,6.6,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Djourou,CLEAN_POSITIVE_MINUTES,0.0,djourou,MATCHED,EXACT_DISPLAY_NAME,DEF,Djourou,Birmingham,66.0,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Traore,ARS,4.5,102,1.0,1,0.0,1.0,0.0,0,,0,7,,14.57,1.56,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Traore,CLEAN_POSITIVE_MINUTES,0.0,traore,MATCHED,EXACT_DISPLAY_NAME,DEF,Traore,Portsmouth,38.0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Hoyte,ARS,4.5,155,2.0,0,1.0,1.0,1.0,0,,0,9,,17.22,2.0,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Hoyte,CLEAN_POSITIVE_MINUTES,0.0,hoyte,MATCHED,EXACT_DISPLAY_NAME,DEF,Hoyte,Arsenal,70.0,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Bouma,AVL,5.0,3261,38.0,1,9.0,48.0,5.0,0,,3,103,,31.66,20.6,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Bouma,CLEAN_POSITIVE_MINUTES,1.0,bouma,MATCHED,EXACT_DISPLAY_NAME,DEF,Bouma,Aston Villa,85.0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Knight,AVL,5.0,2519,29.0,1,8.0,37.0,1.0,1,,1,84,,29.99,16.8,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Knight,CLEAN_POSITIVE_MINUTES,1.0,knight,MATCHED,EXACT_DISPLAY_NAME,DEF,Knight,Fulham,63.0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Laursen,AVL,6.0,3368,38.0,2,9.0,50.0,1.0,0,,27,163,,20.66,27.17,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Laursen,CLEAN_POSITIVE_MINUTES,6.0,laursen,MATCHED,EXACT_DISPLAY_NAME,DEF,Laursen,Aston Villa,53.0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Davies,AVL,5.0,814,9.0,0,0.0,13.0,1.0,0,,3,25,,32.56,5.0,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Davies,CLEAN_POSITIVE_MINUTES,1.0,davies,MATCHED,EXACT_DISPLAY_NAME+CATEGORY_TIEBREAK,DEF,Davies,Middlesbrough,57.0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Khizanishvili,BLA,4.5,955,11.0,0,3.0,12.0,2.0,0,,1,30,,31.83,6.67,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Khizanishvili,CLEAN_POSITIVE_MINUTES,0.0,khizanishvili,MATCHED,EXACT_DISPLAY_NAME,DEF,Khizanishvili,Blackburn,39.0,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
