archive_id,official_name,fpl_minutes,fpl_points,canonical_playerId,canonical_name,raw_minutes,method,score
177,Vincent Kompany,3330,95,17476,Vincent Kompany,3330.0,EXACT_NORMALIZED,1.0
178,Gael Clichy,2970,109,17336,Gaël Clichy,2970.0,EXACT_NORMALIZED,1.0
180,Kolo Toure,1847,76,12450,Kolo Touré,1845.0,EXACT_NORMALIZED,1.0
182,Samir Nasri,2383,134,28554,Samir Nasri,2391.0,EXACT_NORMALIZED,1.0
183,David Silva,2551,144,20664,David Silva,2563.0,EXACT_NORMALIZED,1.0
184,Yaya Toure,2966,146,14664,Yaya Touré,2976.0,EXACT_NORMALIZED,1.0
185,Nigel De Jong,2610,80,15076,Nigel de Jong,2609.0,EXACT_NORMALIZED,1.0
186,Gareth Barry,2702,90,1632,Gareth Barry,2705.0,EXACT_NORMALIZED,1.0
187,James Milner,2134,97,15157,James Milner,2134.0,EXACT_NORMALIZED,1.0
188,Adam Johnson,1542,104,19959,Adam Johnson,1531.0,EXACT_NORMALIZED,1.0
189,Abdul Razak,1,1,93666,Abdul Razak,1.0,EXACT_NORMALIZED,1.0
190,Carlos Tevez,2513,185,20312,Carlos Tevez,2531.0,EXACT_NORMALIZED,1.0
191,Mario Balotelli,1090,55,42493,Mario Balotelli,1091.0,EXACT_NORMALIZED,1.0
192,Edin Dzeko,854,35,42544,Edin Dzeko,846.0,EXACT_NORMALIZED,1.0
194,Emmanuel Adebayor,244,14,17500,Emmanuel Adebayor,240.0,EXACT_NORMALIZED,1.0
198,Chris Smalling,1086,51,55909,Chris Smalling,1082.0,EXACT_NORMALIZED,1.0
199,Phil Jones,2175,70,76359,Phil Jones,2176.0,EXACT_NORMALIZED,1.0
200,Rafael Da Silva,1197,51,54772,Rafael,1202.0,MANUAL_ALIAS,0.98
201,Nemanja Vidic,3116,148,14965,Nemanja Vidic,3117.0,EXACT_NORMALIZED,1.0
202,Rio Ferdinand,1710,69,2034,Rio Ferdinand,1710.0,EXACT_NORMALIZED,1.0
203,Patrice Evra,2957,113,14075,Patrice Evra,2961.0,EXACT_NORMALIZED,1.0
204,Jonny Evans,1004,29,37642,Jonny Evans,1006.0,EXACT_NORMALIZED,1.0
206,Antonio Valencia,742,42,20695,Antonio Valencia,741.0,EXACT_NORMALIZED,1.0
208,Oliveira Anderson,1182,57,27258,Anderson,1190.0,MANUAL_ALIAS,0.98
209,Ryan Giggs,1676,79,3,Ryan Giggs,1678.0,EXACT_NORMALIZED,1.0
210,Michael Carrick,1972,61,2404,Michael Carrick,1975.0,EXACT_NORMALIZED,1.0
211,Darren Fletcher,2109,87,14295,Darren Fletcher,2108.0,EXACT_NORMALIZED,1.0
213,Ashley Young,3050,160,18892,Ashley Young,3054.0,EXACT_NORMALIZED,1.0
216,Paul Scholes,1537,64,363,Paul Scholes,1536.0,EXACT_NORMALIZED,1.0
219,Dimitar Berbatov,2208,176,8595,Dimitar Berbatov,2210.0,EXACT_NORMALIZED,1.0
221,Wayne Rooney,2225,142,13017,Wayne Rooney,2226.0,EXACT_NORMALIZED,1.0
224,Federico Macheda,220,12,59970,Federico Macheda,216.0,EXACT_NORMALIZED,1.0
225,Steve Harper,1564,57,1881,Steve Harper,1565.0,EXACT_NORMALIZED,1.0
226,Tim Krul,1856,51,20480,Tim Krul,1855.0,EXACT_NORMALIZED,1.0
228,James Perch,877,16,18846,James Perch,869.0,EXACT_NORMALIZED,1.0
229,Mike Williamson,2565,75,11378,Mike Williamson,2565.0,EXACT_NORMALIZED,1.0
230,Danny Simpson,2685,70,40725,Danny Simpson,2686.0,EXACT_NORMALIZED,1.0
231,Steven Taylor,1008,45,17974,Steven Taylor,1007.0,EXACT_NORMALIZED,1.0
232,Fabricio Coloccini,3080,97,7933,Fabricio Coloccini,3082.0,EXACT_NORMALIZED,1.0
233,Ryan Taylor,276,5,14775,Ryan Taylor,278.0,EXACT_NORMALIZED,1.0
236,Gabriel Obertan,284,12,38429,Gabriel Obertan,283.0,EXACT_NORMALIZED,1.0
237,Cheick Tiote,2308,66,28301,Cheick Tioté,2304.0,EXACT_NORMALIZED,1.0
238,Hatem Ben Arfa,168,14,18753,Hatem Ben Arfa,171.0,EXACT_NORMALIZED,1.0
239,Shane Ferguson,309,10,61944,Shane Ferguson,309.0,EXACT_NORMALIZED,1.0
240,Dan Gosling,1,1,40387,Dan Gosling,1.0,EXACT_NORMALIZED,1.0
241,Jonas Gutierrez,2973,116,21060,Jonás Gutiérrez,2982.0,EXACT_NORMALIZED,1.0
248,Shola Ameobi,1753,93,6240,Shola Ameobi,1756.0,EXACT_NORMALIZED,1.0
249,Demba Ba,933,57,47412,Demba Ba,932.0,EXACT_NORMALIZED,1.0
250,Sammy Ameobi,9,1,97612,Sammy Ameobi,7.0,EXACT_NORMALIZED,1.0
277,James Vaughan,18,1,19916,James Vaughan,16.0,EXACT_NORMALIZED,1.0
279,Rob Green,3330,122,1243,Robert Green,3330.0,MANUAL_ALIAS,0.98
280,Luke Young,2070,65,1930,Luke Young,2070.0,EXACT_NORMALIZED,1.0
284,Anton Ferdinand,2088,66,13898,Anton Ferdinand,2089.0,EXACT_NORMALIZED,1.0
287,Ryan Nelsen,2413,86,19718,Ryan Nelsen,2414.0,EXACT_NORMALIZED,1.0
288,Fabio Da Silva,559,26,54771,Fábio,556.0,MANUAL_ALIAS,0.98
