element_code,name,minutes,points,source,canonical_playerId,canonical_name,method
50232,Jonjo Shelvey,340,18,data/2017-18/players/Jonjo_Shelvey/history.csv,50232,Jonjo Shelvey,SHARED_ELEMENT_CODE
5589,Dean Whitehead,2902,93,data/2017-18/players/Dean_Whitehead/history.csv,5589,Dean Whitehead,SHARED_ELEMENT_CODE
1243,Robert Green,3330,122,data/2017-18/players/Robert_Green/history.csv,1243,Robert Green,SHARED_ELEMENT_CODE
60689,Chris Wood,9,1,data/2017-18/players/Chris_Wood/history.csv,60689,Chris Wood,SHARED_ELEMENT_CODE
58771,Jack Colback,589,19,data/2017-18/players/Jack_Colback/history.csv,58771,Jack Colback,SHARED_ELEMENT_CODE
14075,Patrice Evra,2957,113,data/2017-18/players/Patrice_Evra/history.csv,14075,Patrice Evra,SHARED_ELEMENT_CODE
58845,Ciaran Clark,1569,51,data/2017-18/players/Ciaran_Clark/history.csv,58845,Ciaran Clark,SHARED_ELEMENT_CODE
83428,Grant Hanley,444,9,data/2017-18/players/Grant_Hanley/history.csv,83428,Grant Hanley,SHARED_ELEMENT_CODE
43020,Javier Hernández Balcázar,1491,110,data/2017-18/players/Javier_Hernández Balcázar/history.csv,43020,Chicharito,SHARED_ELEMENT_CODE
11735,Steve Sidwell,1063,45,data/2017-18/players/Steve_Sidwell/history.csv,11735,Steve Sidwell,SHARED_ELEMENT_CODE
79619,Jonathan Hogg,394,8,data/2017-18/players/Jonathan_Hogg/history.csv,79619,Jonathan Hogg,SHARED_ELEMENT_CODE
