player,team,rows,minutes_sum,assists_sum,points_sum,weeks,dates
Ron Vlaar,,38,2390,0,58,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 02 Feb 15:00 | 02 Sep 16:00 | 03 Nov 15:00 | 04 Mar 20:00 | 04 May 15:00 | 06 Apr 15:00 | 07 Oct 15:00 | 08 Dec 15:00 | 09 Mar 15:00 | 10 Feb 13:30 | 10 Nov 17:30 | 11 May 12:45 | 12 Jan 15:00 | 13 Apr 15:00 | 15 Dec 15:00 | 15 Sep 15:00 | 16 Mar 15:00 | 17 Nov 15:00 | 18 Aug 15:00 | 19 Jan 17:30 | 19 May 16:00 | 20 Oct 15:00 | 22 Apr 20:00 | 22 Sep 15:00 | 23 Dec 16:00 | 23 Feb 15:00 | 24 Nov 17:30 | 25 Aug 15:00 | 26 Dec 17:30 | 27 Nov 20:00 | 27 Oct 12:45 | 29 Apr 20:00 | 29 Dec 15:00 | 29 Jan 19:45 | 30 Sep 16:00 | 31 Mar 13:30
Ronald Zubar,,1,90,0,0,33,11 April 19:45
Ronnie Stam,,38,953,1,19,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,01 Jan 15:00 | 01 Sep 15:00 | 02 Feb 15:00 | 02 Mar 17:30 | 03 Dec 20:00 | 03 Nov 15:00 | 06 Oct 15:00 | 07 Apr 16:10 | 07 May 19:45 | 08 Dec 15:00 | 09 Feb 15:00 | 10 Nov 15:00 | 11 April 19:45 | 12 Jan 15:00 | 14 May 19:45 | 15 Dec 15:00 | 15 Sep 15:00 | 17 Apr 19:45 | 17 Mar 16:00 | 17 Nov 15:00 | 19 Aug 13:30 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 20 Oct 15:00 | 22 Dec 12:45 | 22 Sep 15:00 | 23 Feb 15:00 | 24 Nov 15:00 | 25 Aug 15:00 | 26 Dec 15:00 | 27 Apr 15:00 | 27 Oct 15:00 | 28 Nov 20:00 | 29 Dec 15:00 | 29 Jan 19:45 | 29 Sep 15:00 | 30 Mar 15:00
Rory Delap,,40,11,0,1,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 01 Sep 15:00 | 02 Feb 15:00 | 02 Mar 15:00 | 03 Nov 15:00 | 06 Apr 15:00 | 06 May 20:00 | 07 Oct 15:00 | 08 Dec 15:00 | 09 Feb 15:00 | 10 Mar 15:00 | 10 Nov 15:00 | 12 Jan 15:00 | 12 May 13:30 | 14 Apr 14:05 | 15 Dec 15:00 | 15 Sep 15:00 | 16 Mar 15:00 | 18 Aug 15:00 | 19 Jan 15:00 | 19 May 16:00 | 19 Nov 20:00 | 20 Apr 15:00 | 20 Oct 15:00 | 21 Aug. 13:30 | 22 Dec 15:00 | 22 Sep 15:00 | 23 Feb 12:45 | 24 Nov 15:00 | 26 Aug 13:30 | 26 Dec 19:45 | 27 Apr 15:00 | 27 Oct 15:00 | 28 Aug. 15:00 | 28 Nov 19:45 | 29 Dec 15:00 | 29 Jan 19:45 | 29 Sep 15:00 | 30 Mar 17:30
Rory Donnelly,,22,0,0,0,15 16 17 18 19 20 21 22 23 24 25 26 28 29 30 31 32 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 02 Feb 15:00 | 02 Mar 15:00 | 06 Apr 15:00 | 07 May 19:45 | 08 Dec 15:00 | 09 Mar 15:00 | 12 Jan 15:00 | 12 May 16:00 | 16 Dec 13:30 | 16 Mar 15:00 | 17 Feb 15:00 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 23 Dec 13:30 | 26 Dec 15:00 | 28 Apr 15:00 | 29 Dec 15:00 | 29 Jan 19:45 | 30 Mar 15:00
Ross Barkley,,39,209,0,7,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Dec 15:00 | 01 Jan. 12:30 | 01 Sep 15:00 | 02 Feb 15:00 | 02 Jan 20:00 | 02 Mar 15:00 | 03 Nov 15:00 | 05 May 13:30 | 06 Oct 15:00 | 07 Apr 14:05 | 09 Dec 15:00 | 10 Feb 16:00 | 10 Nov 15:00 | 12 Jan 15:00 | 12 May 15:00 | 15 Dec 15:00 | 16 Apr 19:45 | 16 Mar 12:45 | 17 Nov 15:00 | 17 Sep 20:00 | 19 May 16:00 | 20 Apr 15:00 | 20 Aug 20:00 | 21 Jan 20:00 | 21 March 20:00 | 21 Oct 16:00 | 22 Dec 15:00 | 22 Sep 12:45 | 23 Feb 15:00 | 24 Nov 15:00 | 25 Aug 15:00 | 26 Dec 15:00 | 27 Apr 15:00 | 28 Nov 19:45 | 28 Oct 13:30 | 29 Sep 15:00 | 30 Dec 13:30 | 30 Jan 19:45 | 30 Mar 17:30
Ross Turnbull,,36,225,0,6,1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,01 Dec 12:45 | 02 Feb 15:00 | 02 Jan 19:45 | 02 Mar 15:00 | 03 Nov 15:00 | 06 Oct 15:00 | 07 Apr 15:00 | 08 Dec 15:00 | 08 May 19:45 | 09 April 20:00 | 09 Feb 15:00 | 11 May 12:45 | 11 Nov 16:00 | 15 Sep 15:00 | 16 Jan 19:45 | 17 Apr 20:00 | 17 Mar 16:00 | 17 Nov 15:00 | 19 May 16:00 | 20 Jan 13:30 | 20 Oct 12:45 | 21 Apr 16:00 | 22 Aug 19:45 | 22 Sep 15:00 | 23 Dec 16:00 | 24 Feb 13:30 | 25 Aug 17:30 | 25 Nov 16:00 | 26 Dec 15:00 | 28 Apr 15:00 | 28 Nov 19:45 | 28 Oct 16:00 | 29 Sep 12:45 | 30 Dec 13:30 | 30 Jan 20:00 | 30 Mar 15:00
Royston Drenthe,,1,77,0,2,29,21 March 20:00
Ruben Rochina,,3,26,0,1,3 17 29,20 Dec. 20:00 | 20 March 20:00 | 27 Aug. 15:00
Russell Martin R,,38,2691,2,96,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Jan 15:00 | 01 Sep 15:00 | 02 Dec 16:00 | 02 Feb 12:45 | 02 Mar 15:00 | 03 Nov 15:00 | 04 May 15:00 | 06 Apr 15:00 | 06 Oct 15:00 | 08 Dec 15:00 | 09 Feb 15:00 | 09 Mar 15:00 | 10 Nov 15:00 | 12 Jan 15:00 | 12 May 15:00 | 13 Apr 15:00 | 15 Dec 15:00 | 15 Sep 12:45 | 17 Mar 13:30 | 17 Nov 17:30 | 18 Aug 15:00 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 20 Oct 17:30 | 22 Dec 15:00 | 23 Feb 15:00 | 23 Sep 15:00 | 24 Nov 15:00 | 25 Aug 15:00 | 26 Dec 15:00 | 27 Apr 15:00 | 27 Oct 12:45 | 28 Nov 19:45 | 29 Dec 15:00 | 29 Sep 15:00 | 30 Jan 19:45 | 30 Mar 15:00
Ryan Allsop,,2,0,0,0,27 33,03 March 15:00 | 11 April 19:45
Ryan Bertrand,,36,1106,0,35,1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Dec 12:45 | 02 Feb 15:00 | 02 Jan 19:45 | 02 Mar 15:00 | 03 Nov 15:00 | 06 Oct 15:00 | 07 Apr 15:00 | 08 Dec 15:00 | 08 May 19:45 | 09 Feb 15:00 | 11 May 12:45 | 11 Nov 16:00 | 15 Sep 15:00 | 16 Jan 19:45 | 17 Apr 20:00 | 17 Mar 16:00 | 17 Nov 15:00 | 19 May 16:00 | 20 Jan 13:30 | 20 Oct 12:45 | 21 Apr 16:00 | 21 March 19:45 | 22 Aug 19:45 | 22 Sep 15:00 | 23 Dec 16:00 | 24 Feb 13:30 | 25 Aug 17:30 | 25 Nov 16:00 | 26 Dec 15:00 | 28 Apr 15:00 | 28 Nov 19:45 | 28 Oct 16:00 | 29 Sep 12:45 | 30 Dec 13:30 | 30 Jan 20:00 | 30 Mar 15:00
Ryan Fredericks,,1,0,0,0,29,21 March 19:45
Ryan Giggs,,38,1168,3,65,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Dec 17:30 | 01 Jan 15:00 | 02 Feb 17:30 | 02 Mar 15:00 | 02 Sep 16:00 | 03 Nov 12:45 | 05 May 16:00 | 07 Oct 16:00 | 08 Apr 20:00 | 09 Dec 13:30 | 10 Feb 16:00 | 10 Nov 17:30 | 12 May 16:00 | 13 Jan 13:30 | 15 Dec 15:00 | 15 Sep 15:00 | 16 Mar 17:30 | 17 Apr 19:45 | 17 Nov 17:30 | 18 March 13:30 | 19 May 16:00 | 20 Aug 20:00 | 20 Jan 16:00 | 20 Oct 15:00 | 22 Apr 20:00 | 23 Dec 13:30 | 23 Feb 15:00 | 23 Sep 13:30 | 24 Nov 15:00 | 25 Aug 15:00 | 26 Dec 15:00 | 28 Apr 16:00 | 28 Nov 20:00 | 28 Oct 16:00 | 29 Dec 15:00 | 29 Sep 17:30 | 30 Jan 20:00 | 30 Mar 12:45
Ryan Mason,,33,0,0,0,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 03 Feb 13:30 | 03 Mar 16:00 | 03 Nov 15:00 | 07 Apr 14:05 | 07 Oct 15:00 | 08 May 19:45 | 09 Dec 15:00 | 09 Feb 12:45 | 10 Mar 16:00 | 11 Nov 13:30 | 12 Jan 12:45 | 12 May 13:30 | 16 Dec 13:30 | 17 Mar 15:00 | 17 Nov 12:45 | 19 May 16:00 | 20 Jan 16:00 | 20 Oct 12:45 | 21 Apr 13:30 | 22 Dec 15:00 | 23 Sep 16:00 | 25 Feb 20:00 | 25 Nov 16:00 | 26 Dec 17:30 | 27 Apr 15:00 | 28 Nov 19:45 | 28 Oct 15:00 | 29 Dec 12:45 | 29 Sep 17:30 | 30 Jan 19:45 | 30 Mar 15:00
Ryan Nelsen,,38,1882,0,69,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Apr 20:00 | 01 Dec 15:00 | 01 Oct 20:00 | 01 Sep 17:30 | 02 Feb 12:45 | 02 Jan 19:45 | 02 Mar 15:00 | 04 May 17:30 | 04 Nov 13:30 | 06 Oct 15:00 | 07 Apr 16:10 | 08 Dec 15:00 | 09 Feb 15:00 | 09 Mar 15:00 | 10 Nov 15:00 | 12 Jan 12:45 | 12 May 15:00 | 13 Apr 15:00 | 15 Dec 15:00 | 15 Sep 15:00 | 16 Mar 15:00 | 17 Nov 15:00 | 18 Aug 15:00 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 21 Oct 16:00 | 22 Dec 15:00 | 23 Feb 15:00 | 23 Sep 16:00 | 24 Nov 15:00 | 25 Aug 15:00 | 26 Dec 15:00 | 27 Nov 19:45 | 27 Oct 15:00 | 28 Apr 13:30 | 29 Jan 19:45 | 30 Dec 16:00
Ryan Noble,,38,0,0,0,1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Sep 15:00 | 02 Dec 16:00 | 02 Feb 15:00 | 02 Jan 19:45 | 02 Mar 15:00 | 03 Nov 15:00 | 06 May 20:00 | 06 Oct 12:45 | 07 Apr 15:00 | 09 Feb 15:00 | 09 Mar 15:00 | 10 Nov 15:00 | 11 Dec 19:45 | 12 Jan 15:00 | 12 May 15:00 | 14 Apr 12:00 | 15 Dec 15:00 | 15 Sep 17:30 | 17 Mar 13:30 | 18 Aug 15:00 | 18 Nov 16:00 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 21 Dec. 20:00 | 21 Oct 13:30 | 22 Dec 15:00 | 22 Sep 15:00 | 23 Feb 15:00 | 24 Nov 12:45 | 26 Dec 15:00 | 27 Nov 19:45 | 27 Oct 15:00 | 29 Apr 20:00 | 29 Dec 12:45 | 29 Jan 19:45 | 29 Sep 15:00 | 30 Mar 12:45
Ryan Ryan Bennett,,38,1069,0,28,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Jan 15:00 | 01 Sep 15:00 | 02 Dec 16:00 | 02 Feb 12:45 | 02 Mar 15:00 | 03 Nov 15:00 | 04 May 15:00 | 06 Apr 15:00 | 06 Oct 15:00 | 08 Dec 15:00 | 09 Feb 15:00 | 09 Mar 15:00 | 10 Nov 15:00 | 12 Jan 15:00 | 12 May 15:00 | 13 Apr 15:00 | 15 Dec 15:00 | 15 Sep 12:45 | 17 Mar 13:30 | 17 Nov 17:30 | 18 Aug 15:00 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 20 Oct 17:30 | 22 Dec 15:00 | 23 Feb 15:00 | 23 Sep 15:00 | 24 Nov 15:00 | 25 Aug 15:00 | 26 Dec 15:00 | 27 Apr 15:00 | 27 Oct 12:45 | 28 Nov 19:45 | 29 Dec 15:00 | 29 Sep 15:00 | 30 Jan 19:45 | 30 Mar 15:00
Ryan Shawcross,,40,3510,1,133,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 01 Sep 15:00 | 02 Feb 15:00 | 02 Mar 15:00 | 03 Nov 15:00 | 06 Apr 15:00 | 06 May 20:00 | 07 Oct 15:00 | 08 Dec 15:00 | 09 Feb 15:00 | 10 Mar 15:00 | 10 Nov 15:00 | 12 Jan 15:00 | 12 May 13:30 | 14 Apr 14:05 | 15 Dec 15:00 | 15 Sep 15:00 | 16 Mar 15:00 | 18 Aug 15:00 | 19 Jan 15:00 | 19 May 16:00 | 19 Nov 20:00 | 20 Apr 15:00 | 20 Oct 15:00 | 21 Aug. 13:30 | 22 Dec 15:00 | 22 Sep 15:00 | 23 Feb 12:45 | 24 Nov 15:00 | 26 Aug 13:30 | 26 Dec 19:45 | 27 Apr 15:00 | 27 Oct 15:00 | 28 Aug. 15:00 | 28 Nov 19:45 | 29 Dec 15:00 | 29 Jan 19:45 | 29 Sep 15:00 | 30 Mar 17:30
Ryan Shotton,,38,1821,1,48,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 01 Sep 15:00 | 02 Feb 15:00 | 02 Mar 15:00 | 03 Nov 15:00 | 06 Apr 15:00 | 06 May 20:00 | 07 Oct 15:00 | 08 Dec 15:00 | 09 Feb 15:00 | 10 Mar 15:00 | 10 Nov 15:00 | 12 Jan 15:00 | 12 May 13:30 | 14 Apr 14:05 | 15 Dec 15:00 | 15 Sep 15:00 | 16 Mar 15:00 | 18 Aug 15:00 | 19 Jan 15:00 | 19 May 16:00 | 19 Nov 20:00 | 20 Apr 15:00 | 20 Oct 15:00 | 22 Dec 15:00 | 22 Sep 15:00 | 23 Feb 12:45 | 24 Nov 15:00 | 26 Aug 13:30 | 26 Dec 19:45 | 27 Apr 15:00 | 27 Oct 15:00 | 28 Nov 19:45 | 29 Dec 15:00 | 29 Jan 19:45 | 29 Sep 15:00 | 30 Mar 17:30
Ryan Taylor R,,38,27,0,1,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,02 Feb 15:00 | 02 Jan 20:00 | 02 Mar 15:00 | 02 Sep 16:00 | 03 Dec 20:00 | 04 May 15:00 | 04 Nov 16:00 | 07 Apr 15:00 | 07 Oct 16:00 | 09 Feb 12:45 | 10 Dec 20:00 | 10 Mar 15:00 | 11 Nov 15:00 | 12 Jan 15:00 | 12 May 15:00 | 14 Apr 12:00 | 15 Dec 12:45 | 17 Mar 16:00 | 17 Nov 15:00 | 17 Sep 20:00 | 18 Aug 17:30 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 21 Oct 13:30 | 22 Dec 15:00 | 23 Sep 15:00 | 24 Feb 13:30 | 25 Aug 17:30 | 25 Nov 15:00 | 26 Dec 15:00 | 27 Apr 17:30 | 28 Nov 19:45 | 28 Oct 15:00 | 29 Dec 17:30 | 29 Jan 19:45 | 29 Sep 15:00 | 30 Mar 15:00
Ryan Tunnicliffe,,19,0,0,0,19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,01 Jan 15:00 | 02 Feb 17:30 | 02 Mar 15:00 | 05 May 16:00 | 08 Apr 20:00 | 10 Feb 16:00 | 12 May 16:00 | 13 Jan 13:30 | 16 Mar 17:30 | 17 Apr 19:45 | 19 May 16:00 | 20 Jan 16:00 | 22 Apr 20:00 | 23 Feb 15:00 | 26 Dec 15:00 | 28 Apr 16:00 | 29 Dec 15:00 | 30 Jan 20:00 | 30 Mar 12:45
Ryo Miyaichi,,12,33,0,3,1 2 3 4 5 6 7 8 9 10 20 30,01 Sep 15:00 | 03 Nov 15:00 | 06 Oct 15:00 | 15 Sep 15:00 | 17 Mar 16:00 | 19 Aug 13:30 | 20 Oct 15:00 | 22 Sep 15:00 | 25 Aug 15:00 | 27 Oct 15:00 | 29 Dec 15:00 | 29 Sep 15:00
Salif Diao,,40,0,0,0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 01 Sep 15:00 | 02 Feb 15:00 | 02 Mar 15:00 | 03 Nov 15:00 | 06 Apr 15:00 | 06 May 20:00 | 07 Oct 15:00 | 08 Dec 15:00 | 09 Feb 15:00 | 10 Mar 15:00 | 10 Nov 15:00 | 12 Jan 15:00 | 12 May 13:30 | 14 Apr 14:05 | 15 Dec 15:00 | 15 Sep 15:00 | 16 Mar 15:00 | 18 Aug 15:00 | 19 Jan 15:00 | 19 May 16:00 | 19 Nov 20:00 | 20 Apr 15:00 | 20 Oct 15:00 | 21 Aug. 13:30 | 22 Dec 15:00 | 22 Sep 15:00 | 23 Feb 12:45 | 24 Nov 15:00 | 26 Aug 13:30 | 26 Dec 19:45 | 27 Apr 15:00 | 27 Oct 15:00 | 28 Aug. 15:00 | 28 Nov 19:45 | 29 Dec 15:00 | 29 Jan 19:45 | 29 Sep 15:00 | 30 Mar 17:30
Salomon Kalou,,1,0,0,0,29,21 March 19:45
Sam Baldock,,36,0,0,0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,01 Dec 12:45 | 01 Jan 15:00 | 01 Oct 20:00 | 01 Sep 12:45 | 02 Feb 15:00 | 02 Mar 15:00 | 03 Nov 17:30 | 04 May 15:00 | 06 Oct 17:30 | 07 Apr 13:30 | 09 Dec 16:00 | 10 Feb 13:30 | 11 Nov 15:00 | 12 Jan 15:00 | 12 May 15:00 | 15 Sep 12:45 | 16 Dec 16:00 | 17 Apr 19:45 | 17 Mar 16:00 | 18 Aug 15:00 | 19 May 16:00 | 19 Nov 20:00 | 20 Apr 15:00 | 20 Oct 15:00 | 22 Dec 15:00 | 22 Sep 15:00 | 23 Jan 19:45 | 25 Aug 12:45 | 25 Feb 20:00 | 25 Nov 16:00 | 27 Apr 12:45 | 27 Oct 15:00 | 28 Nov 20:00 | 29 Dec 15:00 | 30 Jan 20:00 | 30 Mar 15:00
Sam Hutchinson,,37,0,0,0,1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Dec 12:45 | 02 Feb 15:00 | 02 Jan 19:45 | 02 Mar 15:00 | 03 Nov 15:00 | 06 Oct 15:00 | 07 Apr 15:00 | 08 Dec 15:00 | 08 May 19:45 | 09 Feb 15:00 | 11 May 12:45 | 11 Nov 16:00 | 15 Sep 15:00 | 16 Jan 19:45 | 17 Apr 20:00 | 17 Mar 16:00 | 17 Nov 15:00 | 19 May 16:00 | 20 Jan 13:30 | 20 Oct 12:45 | 21 Apr 16:00 | 21 March 19:45 | 22 Aug 19:45 | 22 Sep 15:00 | 23 Dec 16:00 | 24 Feb 13:30 | 25 Aug 17:30 | 25 Nov 16:00 | 26 Dec 15:00 | 28 Apr 15:00 | 28 Nov 19:45 | 28 Oct 16:00 | 29 Sep 12:45 | 30 Dec 13:30 | 30 Jan 20:00 | 30 Mar 15:00 | 31 Dec. 15:00
Sam Johnstone,,26,0,0,0,12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,01 Dec 17:30 | 01 Jan 15:00 | 02 Feb 17:30 | 02 Mar 15:00 | 05 May 16:00 | 08 Apr 20:00 | 09 Dec 13:30 | 10 Feb 16:00 | 12 May 16:00 | 13 Jan 13:30 | 15 Dec 15:00 | 16 Mar 17:30 | 17 Apr 19:45 | 17 Nov 17:30 | 19 May 16:00 | 20 Jan 16:00 | 22 Apr 20:00 | 23 Dec 13:30 | 23 Feb 15:00 | 24 Nov 15:00 | 26 Dec 15:00 | 28 Apr 16:00 | 28 Nov 20:00 | 29 Dec 15:00 | 30 Jan 20:00 | 30 Mar 12:45
Sam Mantom,,38,0,0,0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 35 36 37 38,01 Dec 15:00 | 01 Jan 12:45 | 01 Sep 15:00 | 02 Mar 15:00 | 03 Feb 13:30 | 05 Nov 20:00 | 06 Apr 15:00 | 06 Oct 15:00 | 07 May 19:45 | 08 Dec 15:00 | 09 Mar 15:00 | 10 Nov 15:00 | 11 Feb 20:00 | 12 Jan 15:00 | 12 May 15:00 | 15 Sep 15:00 | 16 Dec 16:00 | 16 Mar 15:00 | 17 March 15:00 | 17 Nov 15:00 | 18 Aug 15:00 | 19 Jan 17:30 | 19 May 16:00 | 20 Apr 15:00 | 20 Oct 15:00 | 22 Dec 15:00 | 22 Sep 15:00 | 23 Feb 15:00 | 24 Nov 12:45 | 25 Aug 15:00 | 26 Dec 15:00 | 27 Apr 15:00 | 28 Nov 19:45 | 28 Oct 15:00 | 29 Dec 15:00 | 30 Jan 19:45 | 30 Mar 15:00 | 30 Sep 16:00
Sam Vokes,,1,0,0,0,33,11 April 19:45
Samba Diakite,,39,1024,1,24,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Apr 20:00 | 01 Dec 15:00 | 01 Oct 20:00 | 01 Sep 17:30 | 02 Feb 12:45 | 02 Jan 19:45 | 02 Mar 15:00 | 04 May 17:30 | 04 Nov 13:30 | 06 Oct 15:00 | 07 Apr 16:10 | 08 Dec 15:00 | 09 Feb 15:00 | 09 Mar 15:00 | 10 Nov 15:00 | 12 Jan 12:45 | 12 May 15:00 | 13 Apr 15:00 | 15 Dec 15:00 | 15 Sep 15:00 | 16 Mar 15:00 | 17 Nov 15:00 | 18 Aug 15:00 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 21 March 20:00 | 21 Oct 16:00 | 22 Dec 15:00 | 23 Feb 15:00 | 23 Sep 16:00 | 24 Nov 15:00 | 25 Aug 15:00 | 26 Dec 15:00 | 27 Nov 19:45 | 27 Oct 15:00 | 28 Apr 13:30 | 29 Jan 19:45 | 30 Dec 16:00
Samir Carruthers,,12,0,0,0,1 2 3 4 5 6 7 8 9 10 20 30,02 Sep 16:00 | 03 Nov 15:00 | 07 Oct 15:00 | 15 Sep 15:00 | 16 Mar 15:00 | 18 Aug 15:00 | 20 Oct 15:00 | 22 Sep 15:00 | 25 Aug 15:00 | 27 Oct 12:45 | 29 Dec 15:00 | 30 Sep 16:00
Samir Nasri,,37,1707,7,83,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 01 Sep 17:30 | 03 Feb 16:00 | 03 Nov 17:30 | 04 Mar 20:00 | 06 Oct 12:45 | 07 May 19:45 | 08 Apr 20:00 | 09 Dec 13:30 | 09 Feb 17:30 | 11 Nov 13:30 | 13 Jan 16:00 | 14 May 20:00 | 15 Dec 12:45 | 15 Sep 15:00 | 16 Mar 12:45 | 17 Apr 19:45 | 17 Nov 15:00 | 19 Aug 16:00 | 19 Jan 15:00 | 19 May 16:00 | 20 Oct 15:00 | 21 Apr 13:30 | 22 Dec 15:00 | 23 Sep 16:00 | 24 Feb 13:30 | 25 Nov 16:00 | 26 Aug 16:00 | 26 Dec 15:00 | 27 Apr 12:45 | 27 Oct 17:30 | 28 Nov 20:00 | 29 Dec 15:00 | 29 Jan 19:45 | 29 Sep 15:00 | 30 Mar 15:00
Sammy Sammy Ameobi,,39,228,1,11,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,02 Feb 15:00 | 02 Jan 20:00 | 02 Mar 15:00 | 02 Sep 16:00 | 03 Dec 20:00 | 04 May 15:00 | 04 Nov 16:00 | 07 Apr 15:00 | 07 Oct 16:00 | 09 Feb 12:45 | 10 Dec 20:00 | 10 Mar 15:00 | 11 Nov 15:00 | 12 Jan 15:00 | 12 May 15:00 | 14 Apr 12:00 | 15 Dec 12:45 | 17 Mar 16:00 | 17 Nov 15:00 | 17 Sep 20:00 | 18 Aug 17:30 | 18 March 16:00 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 21 Oct 13:30 | 22 Dec 15:00 | 23 Sep 15:00 | 24 Feb 13:30 | 25 Aug 17:30 | 25 Nov 15:00 | 26 Dec 15:00 | 27 Apr 17:30 | 28 Nov 19:45 | 28 Oct 15:00 | 29 Dec 17:30 | 29 Jan 19:45 | 29 Sep 15:00 | 30 Mar 15:00
Samuel Ricketts,,1,0,0,0,17,20 Dec. 20:00
