archive_id,code,first_name,second_name,web_name,current_team,current_type,element_type_id,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,ea_ppi,end_cost_tenths,end_price_m,total_points,source_path
164,390092,Jordan,Henderson,Henderson,Liverpool,Midfielder,3,3211,3,5,13,46,0,0,0,2,0,0,20,0,54,5.4,133,20_5_2013/164
167,326934,Luis,Suarez,Suarez,Liverpool,Forward,4,1100,4,5,5,12,0,0,0,2,0,0,14,0,95,9.5,68,20_5_2013/167
168,312242,Andy,Carroll,Carroll,West Ham,Forward,4,2071,13,6,7,34,0,0,0,5,0,0,21,0,62,6.2,135,20_5_2013/168
170,399711,Nathan,Eccleston,Eccleston,Liverpool,Forward,4,11,0,0,0,0,0,0,0,0,0,0,0,0,45,4.5,1,20_5_2013/170
171,262521,Joe,Hart,Hart,Man City,Goalkeeper,1,3420,0,1,18,33,0,1,0,1,0,115,4,0,69,6.9,175,20_5_2013/171
173,309604,Aleksandar,Kolarov,Kolarov,Man City,Defender,2,1719,1,1,5,21,0,0,0,5,1,0,4,0,57,5.7,60,20_5_2013/173
174,305535,Micah,Richards,Richards,Man City,Defender,2,1399,1,1,8,15,0,0,0,4,0,0,2,0,54,5.4,67,20_5_2013/174
175,276042,Pablo,Zabaleta,Zabaleta,Man City,Defender,2,1947,2,2,12,13,0,0,0,8,1,0,5,0,61,6.1,102,20_5_2013/175
176,195093,Joleon,Lescott,Lescott,Man City,Defender,2,1883,3,1,10,18,0,0,0,1,0,0,7,0,64,6.4,103,20_5_2013/176
177,275555,Vincent,Kompany,Kompany,Man City,Defender,2,3330,0,1,18,32,0,0,0,6,0,0,6,0,52,5.2,95,20_5_2013/177
178,275505,Gael,Clichy,Clichy,Man City,Defender,2,2970,0,1,13,33,0,0,0,3,0,0,0,0,61,6.1,109,20_5_2013/178
180,249719,Kolo,Toure,Toure,Man City,Defender,2,1847,1,0,9,14,0,0,0,2,1,0,0,0,62,6.2,76,20_5_2013/180
182,294839,Samir,Nasri,Nasri,Man City,Midfielder,3,2383,10,1,9,28,0,0,0,4,0,0,20,0,82,8.2,134,20_5_2013/182
183,299191,David,Silva,Silva,Man City,Midfielder,3,2551,4,9,16,24,0,0,0,2,0,0,20,0,86,8.6,144,20_5_2013/183
184,248850,Yaya,Toure,Yaya Toure,Man City,Midfielder,3,2966,6,6,18,25,0,0,0,3,0,0,15,0,63,6.3,146,20_5_2013/184
185,255061,Nigel,De Jong,De Jong,Man City,Midfielder,3,2610,1,0,16,21,0,0,0,9,0,0,8,0,42,4.2,80,20_5_2013/185
186,37796,Gareth,Barry,Barry,Man City,Midfielder,3,2702,2,3,13,29,0,0,0,8,0,0,3,0,65,6.5,90,20_5_2013/186
187,247364,James,Milner,Milner,Man City,Midfielder,3,2134,1,7,11,24,0,0,0,4,0,0,10,0,81,8.1,97,20_5_2013/187
188,269098,Adam,Johnson,Johnson,Sunderland,Midfielder,3,1542,4,7,10,12,0,0,0,2,0,0,9,0,57,5.7,104,20_5_2013/188
189,461855,Abdul,Razak,Razak,Man City,Midfielder,3,1,0,0,0,0,0,0,0,0,0,0,0,0,45,4.5,1,20_5_2013/189
190,246035,Carlos,Tevez,Tevez,Man City,Forward,4,2513,21,6,16,19,0,0,1,6,0,0,32,0,115,11.5,185,20_5_2013/190
191,394623,Mario,Balotelli,Balotelli,Man City,Forward,4,1090,6,1,7,11,0,0,0,5,1,0,6,0,76,7.6,55,20_5_2013/191
192,279289,Edin,Dzeko,Dzeko,Man City,Forward,4,854,2,2,1,15,0,0,0,1,0,0,0,0,84,8.4,35,20_5_2013/192
194,237670,Emmanuel,Adebayor,Adebayor,Tottenham,Forward,4,244,1,0,1,5,0,0,0,0,0,0,0,0,89,8.9,14,20_5_2013/194
198,412073,Chris,Smalling,Smalling,Man Utd,Defender,2,1086,0,1,5,12,0,0,0,0,0,0,5,0,44,4.4,51,20_5_2013/198
199,426380,Phil,Jones,Jones,Man Utd,Defender,2,2175,0,0,6,33,0,0,0,4,0,0,11,0,42,4.2,70,20_5_2013/199
200,252396,Rafael,Da Silva,Rafael,Man Utd,Defender,2,1197,0,1,6,13,0,0,0,2,1,0,4,0,54,5.4,51,20_5_2013/200
201,234542,Nemanja,Vidic,Vidic,Man Utd,Defender,2,3116,5,1,14,33,0,0,0,6,1,0,9,0,81,8.1,148,20_5_2013/201
202,27639,Rio,Ferdinand,Ferdinand,Man Utd,Defender,2,1710,0,0,8,13,0,0,0,0,0,0,1,0,63,6.3,69,20_5_2013/202
203,215054,Patrice,Evra,Evra,Man Utd,Defender,2,2957,1,2,12,33,1,0,0,1,0,0,0,0,73,7.3,113,20_5_2013/203
204,318192,Jonny,Evans,Evans J,Man Utd,Defender,2,1004,0,0,4,16,0,0,0,2,1,0,0,0,46,4.6,29,20_5_2013/204
206,296546,Antonio,Valencia,Valencia,Man Utd,Midfielder,3,742,1,2,4,6,0,0,0,1,0,0,10,0,79,7.9,42,20_5_2013/206
207,324066,Luis,Nani,Nani,Man Utd,Midfielder,3,2660,9,18,14,29,0,0,1,1,0,0,25,0,94,9.4,198,20_5_2013/207
208,346222,Oliveira,Anderson,Anderson,Man Utd,Midfielder,3,1182,1,3,8,8,0,0,0,2,0,0,6,0,55,5.5,57,20_5_2013/208
209,15722,Ryan,Giggs,Giggs,Man Utd,Midfielder,3,1676,2,8,5,21,0,0,0,5,0,0,4,0,68,6.8,79,20_5_2013/209
210,154848,Michael,Carrick,Carrick,Man Utd,Midfielder,3,1972,0,0,9,21,0,0,0,1,0,0,4,0,62,6.2,61,20_5_2013/210
211,204353,Darren,Fletcher,Fletcher,Man Utd,Midfielder,3,2109,2,6,9,25,0,0,0,3,0,0,4,0,68,6.8,87,20_5_2013/211
212,345100,Tom,Cleverley,Cleverley,Man Utd,Midfielder,3,1637,4,2,2,26,0,0,0,1,0,0,4,0,42,4.2,72,20_5_2013/212
213,266858,Ashley,Young,Young,Man Utd,Midfielder,3,3050,7,11,7,49,0,0,1,8,0,0,27,0,84,8.4,160,20_5_2013/213
216,16392,Paul,Scholes,Scholes,Man Utd,Midfielder,3,1537,1,4,6,19,0,0,0,9,0,0,12,0,61,6.1,64,20_5_2013/216
219,210993,Dimitar,Berbatov,Berbatov,Fulham,Forward,4,2208,21,4,8,28,0,0,0,1,0,0,26,0,92,9.2,176,20_5_2013/219
220,336059,Javier,Hernandez,Hernandez,Man Utd,Forward,4,1491,13,2,4,12,0,0,0,5,0,0,16,0,71,7.1,110,20_5_2013/220
221,243973,Wayne,Rooney,Rooney,Man Utd,Forward,4,2225,11,11,10,22,0,0,1,5,0,0,19,0,118,11.8,142,20_5_2013/221
222,377074,Danny,Welbeck,Welbeck,Man Utd,Forward,4,1756,6,1,9,27,0,0,0,2,0,0,11,0,44,4.4,79,20_5_2013/222
224,398489,Federico,Macheda,Macheda,Man Utd,Forward,4,220,1,0,1,2,0,0,0,0,0,0,0,0,50,5.0,12,20_5_2013/224
225,30578,Steve,Harper,Harper,Newcastle,Goalkeeper,1,1564,0,0,5,22,0,0,0,0,0,47,0,0,43,4.3,57,20_5_2013/225
226,331410,Tim,Krul,Krul,Newcastle,Goalkeeper,1,1856,0,0,3,35,0,0,0,0,0,48,0,0,39,3.9,51,20_5_2013/226
228,280385,James,Perch,Perch,Newcastle,Defender,2,877,0,0,2,15,1,0,0,6,0,0,0,0,38,3.8,16,20_5_2013/228
229,232984,Mike,Williamson,Williamson,Newcastle,Defender,2,2565,0,2,7,41,0,0,0,5,0,0,3,0,41,4.1,75,20_5_2013/229
230,325985,Danny,Simpson,Simpson,Newcastle,Defender,2,2685,0,0,7,45,0,0,0,4,0,0,0,0,39,3.9,70,20_5_2013/230
231,247146,Steven,Taylor,Taylor S,Newcastle,Defender,2,1008,3,1,1,19,0,0,0,2,0,0,3,0,39,3.9,45,20_5_2013/231
232,198241,Fabricio,Coloccini,Coloccini,Newcastle,Defender,2,3080,2,0,9,51,0,0,0,3,1,0,3,0,46,4.6,97,20_5_2013/232
233,236404,Ryan,Taylor,Taylor R,Newcastle,Defender,2,276,0,1,0,6,0,0,0,0,1,0,0,0,39,3.9,5,20_5_2013/233
236,355012,Gabriel,Obertan,Obertan,Newcastle,Midfielder,3,284,0,0,1,4,0,0,0,0,0,0,2,0,44,4.4,12,20_5_2013/236
237,322937,Cheick,Tiote,Tiote,Newcastle,Midfielder,3,2308,1,1,8,34,0,0,0,14,0,0,12,0,44,4.4,66,20_5_2013/237
238,294836,Hatem,Ben Arfa,Ben Arfa,Newcastle,Midfielder,3,168,1,0,2,1,0,0,0,0,0,0,1,0,43,4.3,14,20_5_2013/238
239,386022,Shane,Ferguson,Ferguson,Newcastle,Midfielder,3,309,0,0,0,7,0,0,0,0,0,0,0,0,40,4.0,10,20_5_2013/239
240,367862,Dan,Gosling,Gosling,Newcastle,Midfielder,3,1,0,0,0,1,0,0,0,0,0,0,0,0,43,4.3,1,20_5_2013/240
241,265387,Jonas,Gutierrez,Gutierrez,Newcastle,Midfielder,3,2973,3,5,9,45,0,0,0,5,0,0,11,0,48,4.8,116,20_5_2013/241
248,212413,Shola,Ameobi,Ameobi,Newcastle,Forward,4,1753,6,6,5,30,0,0,0,2,0,0,7,0,41,4.1,93,20_5_2013/248
249,355256,Demba,Ba,Ba,Chelsea,Forward,4,933,7,0,2,21,0,0,0,1,0,0,8,0,49,4.9,57,20_5_2013/249
250,466925,Sammy,Ameobi,Sammy Ameobi,Newcastle,Forward,4,9,0,0,0,1,0,0,0,0,0,0,0,0,40,4.0,1,20_5_2013/250
277,299746,James,Vaughan,Vaughan,Norwich,Forward,4,18,0,0,0,0,0,0,0,0,0,0,0,0,45,4.5,1,20_5_2013/277
279,42772,Rob,Green,Green,QPR,Goalkeeper,1,3330,0,0,5,69,1,1,0,0,0,162,6,0,48,4.8,122,20_5_2013/279
280,42773,Luke,Young,Young,QPR,Defender,2,2070,1,1,5,37,0,0,0,1,0,0,5,0,48,4.8,65,20_5_2013/280
281,299568,Nedum,Onuoha,Onuoha,QPR,Defender,2,2662,1,2,9,44,0,0,0,1,0,0,4,0,51,5.1,97,20_5_2013/281
284,249218,Anton,Ferdinand,Ferdinand,QPR,Defender,2,2088,0,0,7,36,0,0,0,2,0,0,3,0,45,4.5,66,20_5_2013/284
287,227665,Ryan,Nelsen,Nelsen,QPR,Defender,2,2413,3,3,5,46,0,0,0,3,1,0,8,0,49,4.9,86,20_5_2013/287
288,410367,Fabio,Da Silva,Fabio,QPR,Defender,2,559,1,1,1,5,0,0,0,2,0,0,0,0,44,4.4,26,20_5_2013/288
289,154949,Shaun,Wright-Phillips,Wright-Phillips,QPR,Midfielder,3,205,0,0,1,2,0,0,0,0,0,0,0,0,70,7.0,9,20_5_2013/289
290,256600,Joey,Barton,Barton,QPR,Midfielder,3,2878,4,9,8,45,0,0,0,8,0,0,20,0,48,4.8,131,20_5_2013/290
296,31055,Kieron,Dyer,Dyer,QPR,Midfielder,3,602,0,1,0,13,0,0,0,0,0,0,0,0,41,4.1,20,20_5_2013/296
