archive_id,first_name,second_name,web_name,current_team,current_type,element_type_id,history_status,season,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,ea_ppi,end_cost_tenths,end_price_m,total_points,source_path
78,Michael,Essien,Essien,Chelsea,Midfielder,3,POSITIVE_MINUTES,2010/11,2797,3,2,13,25,0,0,0,4,1,0,15,0,69,6.9,105,20_5_2013/78
79,Florent,Malouda,Malouda,Chelsea,Midfielder,3,POSITIVE_MINUTES,2010/11,2799,13,5,16,27,0,0,0,1,0,0,22,0,97,9.7,186,20_5_2013/79
80,,Mikel,Mikel,Chelsea,Midfielder,3,POSITIVE_MINUTES,2010/11,2204,0,2,11,21,0,0,0,3,0,0,1,0,44,4.4,67,20_5_2013/80
82,Oriol,Romeu,Romeu,Chelsea,Midfielder,3,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/82
83,Juan,Mata,Mata,Chelsea,Midfielder,3,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/83
84,Lucas,Piazon,Piazon,Chelsea,Midfielder,3,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/84
85,Eden,Hazard,Hazard,Chelsea,Midfielder,3,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/85
86,Yossi,Benayoun,Benayoun,Chelsea,Midfielder,3,POSITIVE_MINUTES,2010/11,209,1,0,0,1,0,0,0,0,0,0,0,0,68,6.8,13,20_5_2013/86
87,Marko,Marin,Marin,Chelsea,Midfielder,3,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/87
88,Kevin,De Bruyne,De Bruyne,Chelsea,Midfielder,3,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/88
89,Fernando,Torres,Torres,Chelsea,Forward,4,POSITIVE_MINUTES,2010/11,2655,10,7,10,36,0,0,0,7,0,0,8,0,112,11.2,128,20_5_2013/89
90,Daniel,Sturridge,Sturridge,Liverpool,Forward,4,POSITIVE_MINUTES,2010/11,1131,8,0,2,17,0,0,0,0,1,0,14,0,53,5.3,78,20_5_2013/90
91,Romelu,Lukaku,Lukaku,West Brom,Forward,4,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/91
92,Jan,Mucha,Mucha,Everton,Goalkeeper,1,ZERO_MINUTES,2010/11,0,0,0,0,0,0,0,0,0,0,0,0,0,42,4.2,0,20_5_2013/92
93,Tim,Howard,Howard,Everton,Goalkeeper,1,POSITIVE_MINUTES,2010/11,3420,0,0,9,45,0,0,0,3,0,108,3,0,53,5.3,124,20_5_2013/93
94,Johnny,Heitinga,Heitinga,Everton,Defender,2,POSITIVE_MINUTES,2010/11,1888,1,0,4,30,0,0,0,9,0,0,0,0,55,5.5,50,20_5_2013/94
95,Phil,Jagielka,Jagielka,Everton,Defender,2,POSITIVE_MINUTES,2010/11,2796,1,1,9,32,2,0,0,3,0,0,10,0,56,5.6,104,20_5_2013/95
96,Tony,Hibbert,Hibbert,Everton,Defender,2,POSITIVE_MINUTES,2010/11,1452,0,0,3,20,1,0,0,3,0,0,0,0,48,4.8,38,20_5_2013/96
97,Leighton,Baines,Baines,Everton,Defender,2,POSITIVE_MINUTES,2010/11,3420,5,11,9,45,0,0,0,4,0,0,20,0,81,8.1,178,20_5_2013/97
98,Sylvain,Distin,Distin,Everton,Defender,2,POSITIVE_MINUTES,2010/11,3409,2,0,9,45,1,0,0,1,0,0,16,0,53,5.3,124,20_5_2013/98
99,Shkodran,Mustafi,Mustafi,Everton,Defender,2,ZERO_MINUTES,2010/11,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4.0,0,20_5_2013/99
100,Shane,Duffy,Duffy,Everton,Defender,2,ZERO_MINUTES,2010/11,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4.5,0,20_5_2013/100
101,Adam,Forshaw,Forshaw,Everton,Midfielder,3,POSITIVE_MINUTES,2010/11,9,0,0,0,0,0,0,0,0,0,0,0,0,45,4.5,1,20_5_2013/101
102,Jack,Rodwell,Rodwell,Man City,Midfielder,3,POSITIVE_MINUTES,2010/11,1420,0,1,3,19,0,0,0,4,0,0,0,0,50,5.0,41,20_5_2013/102
103,Leon,Osman,Osman,Everton,Midfielder,3,POSITIVE_MINUTES,2010/11,1811,4,6,5,23,0,0,0,4,0,0,8,0,56,5.6,91,20_5_2013/103
104,Tim,Cahill,Cahill,Everton,Midfielder,3,POSITIVE_MINUTES,2010/11,2016,9,4,5,28,0,0,0,4,0,0,10,0,89,8.9,117,20_5_2013/104
105,Marouane,Fellaini,Fellaini,Everton,Midfielder,3,POSITIVE_MINUTES,2010/11,1652,1,3,3,24,0,0,0,3,1,0,7,0,59,5.9,56,20_5_2013/105
106,Phil,Neville,Neville,Everton,Midfielder,3,POSITIVE_MINUTES,2010/11,2657,1,1,8,33,0,0,0,5,0,0,5,0,46,4.6,77,20_5_2013/106
107,Seamus,Coleman,Coleman,Everton,Midfielder,3,POSITIVE_MINUTES,2010/11,2256,4,4,7,27,0,0,0,4,1,0,8,0,52,5.2,116,20_5_2013/107
108,Darron,Gibson,Gibson,Everton,Midfielder,3,POSITIVE_MINUTES,2010/11,657,0,1,3,8,0,0,0,3,0,0,0,0,49,4.9,21,20_5_2013/108
109,Ross,Barkley,Barkley,Everton,Midfielder,3,ZERO_MINUTES,2010/11,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5.0,0,20_5_2013/109
110,Apostolos,Vellios,Vellios,Everton,Forward,4,POSITIVE_MINUTES,2010/11,35,0,0,0,0,0,0,0,0,0,0,0,0,45,4.5,3,20_5_2013/110
111,Magaye,Gueye,Gueye,Everton,Forward,4,POSITIVE_MINUTES,2010/11,191,0,1,2,2,0,0,0,0,0,0,1,0,50,5.0,11,20_5_2013/111
112,Jose,Baxter,Baxter,Everton,Forward,4,POSITIVE_MINUTES,2010/11,13,0,0,0,0,0,0,0,0,0,0,0,0,41,4.1,1,20_5_2013/112
113,Victor,Anichebe,Anichebe,Everton,Forward,4,POSITIVE_MINUTES,2010/11,769,0,0,0,13,0,0,0,1,1,0,0,0,50,5.0,19,20_5_2013/113
114,Conor,McAleny,McAleny,Everton,Forward,4,ZERO_MINUTES,2010/11,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4.5,0,20_5_2013/114
115,Nikica,Jelavic,Jelavic,Everton,Forward,4,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/115
116,Steven,Naismith,Naismith,Everton,Forward,4,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/116
117,David,Stockdale,Stockdale,Fulham,Goalkeeper,1,POSITIVE_MINUTES,2010/11,630,0,0,3,6,0,1,0,0,0,25,1,0,38,3.8,38,20_5_2013/117
118,Mark,Schwarzer,Schwarzer,Fulham,Goalkeeper,1,POSITIVE_MINUTES,2010/11,2790,0,0,11,37,0,0,0,0,0,93,0,0,47,4.7,113,20_5_2013/118
119,Neil,Etheridge,Etheridge,Fulham,Goalkeeper,1,ZERO_MINUTES,2010/11,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4.0,0,20_5_2013/119
120,Matthew,Briggs,Briggs,Fulham,Defender,2,POSITIVE_MINUTES,2010/11,195,0,0,0,4,0,0,0,0,0,0,0,0,40,4.0,4,20_5_2013/120
121,Philippe,Senderos,Senderos,Fulham,Defender,2,POSITIVE_MINUTES,2010/11,270,0,0,2,2,0,0,0,0,0,0,0,0,42,4.2,13,20_5_2013/121
